ID,State,City,Lat,Long
1,Alaska,Adak,55.999722,-161.207778
2,Alaska,Akiachak,60.891854,-161.39233
3,Alaska,Akiak,60.890632,-161.199325
4,Alaska,Akutan,54.143012,-165.785368
5,Alaska,Alakanuk,62.746967,-164.60228
6,Alaska,Aleknagik,59.269688,-158.619882
7,Alaska,Allakaket,66.543197,-152.712155
8,Alaska,Ambler,67.46951,-156.455652
9,Alaska,Anaktuvuk Pass,68.11878,-151.679005
10,Alaska,Anchor Point,59.788818,-151.732933
11,Alaska,Anchorage,61.211571,-149.876077
12,Alaska,Anderson,64.300693,-149.1718
13,Alaska,Angoon,57.569832,-134.371052
14,Alaska,Aniak,61.691648,-157.758502
15,Alaska,Anvik,62.830913,-160.130441
16,Alaska,Arctic Village,68.077395,-145.423115
17,Alaska,Atka,52.199167,-174.213333
18,Alaska,Atqasuk,71.290556,-156.788611
19,Alaska,Auke Bay,58.3833,-134.6597
20,Alaska,Barrow,71.234637,-156.817409
21,Alaska,Beaver,66.33883,-147.279803
22,Alaska,Bethel,60.832389,-161.824053
23,Alaska,Bettles Field,67.100495,-151.062414
24,Alaska,Big Lake,61.5842,-149.4401
25,Alaska,Brevig Mission,65.334187,-166.478578
26,Alaska,Buckland,65.981052,-161.131676
27,Alaska,Cantwell,63.395458,-148.89735
28,Alaska,Central,65.468058,-144.74886
29,Alaska,Chalkyitsik,66.719,-143.638121
30,Alaska,Chefornak,60.153746,-164.210294
31,Alaska,Chevak,61.583982,-164.776457
32,Alaska,Chicken,64.075,-141.933333
33,Alaska,Chignik,56.301639,-158.415696
34,Alaska,Chignik Lagoon,56.251277,-158.673528
35,Alaska,Chignik Lake,56.255556,-158.7625
36,Alaska,Chitina,61.516667,-144.436667
37,Alaska,Chugiak,61.409802,-149.453736
38,Alaska,Circle,65.824542,-144.08262
39,Alaska,Clam Gulch,60.201603,-151.422628
40,Alaska,Clarks Point,58.84921,-158.451241
41,Alaska,Clear,64.418121,-149.139885
42,Alaska,Coffman Cove,55.342222,-131.646111
43,Alaska,Cold Bay,55.610952,-161.942941
44,Alaska,Cooper Landing,60.476692,-149.823514
45,Alaska,Copper Center,61.91581,-144.97793
46,Alaska,Cordova,60.102558,-147.943316
47,Alaska,Craig,55.47317,-133.117081
48,Alaska,Crooked Creek,61.818072,-158.002483
49,Alaska,Deering,66.062265,-162.711951
50,Alaska,Delta Junction,64.005426,-145.613611
51,Alaska,Denali National Park,63.516075,-149.539532
52,Alaska,Dillingham,59.059279,-158.973533
53,Alaska,Douglas,58.275597,-134.395041
54,Alaska,Dutch Harbor,53.362757,-167.510656
55,Alaska,Eagle,64.783333,-141.2
56,Alaska,Eagle River,61.311357,-149.508515
57,Alaska,Eek,60.215058,-162.032341
58,Alaska,Egegik,58.206174,-157.342202
59,Alaska,Eielson Afb,64.67352,-147.08051
60,Alaska,Ekwok,59.362792,-157.478211
61,Alaska,Elfin Cove,58.195,-136.358333
62,Alaska,Elim,64.621662,-162.260371
63,Alaska,Elmendorf Afb,61.251531,-149.812667
64,Alaska,Emmonak,62.827404,-164.131298
65,Alaska,Ester,64.846667,-148.016667
66,Alaska,Fairbanks,64.840238,-147.710431
67,Alaska,False Pass,54.841028,-163.436845
68,Alaska,Fort Greely,64.036667,-145.733333
69,Alaska,Fort Richardson,61.275256,-149.675454
70,Alaska,Fort Wainwright,64.828303,-147.655673
71,Alaska,Fort Yukon,66.520744,-145.306439
72,Alaska,Gakona,62.654744,-143.568393
73,Alaska,Galena,64.760784,-156.797701
74,Alaska,Gambell,63.776555,-171.701685
75,Alaska,Girdwood,60.9425,-149.166389
76,Alaska,Glennallen,62.103895,-145.661684
77,Alaska,Goodnews Bay,59.085008,-161.587146
78,Alaska,Grayling,63.372013,-159.404907
79,Alaska,Gustavus,58.42835,-135.761542
80,Alaska,Haines,59.251886,-135.542032
81,Alaska,Healy,63.917123,-149.011128
82,Alaska,Holy Cross,62.192584,-159.825092
83,Alaska,Homer,59.665495,-151.462644
84,Alaska,Hoonah,58.032237,-135.558435
85,Alaska,Hooper Bay,61.537157,-165.891045
86,Alaska,Hope,60.92,-149.641667
87,Alaska,Houston,61.633611,-149.841111
88,Alaska,Hughes,66.038246,-154.26443
89,Alaska,Huslia,65.689918,-156.291976
90,Alaska,Hydaburg,55.137406,-132.633175
91,Alaska,Hyder,55.925867,-130.124915
92,Alaska,Iliamna,59.564836,-155.462556
93,Alaska,Indian,60.9804,-149.4917
94,Alaska,Juneau,58.362767,-134.529429
95,Alaska,Kake,56.975833,-133.947222
96,Alaska,Kaktovik,70.042889,-143.631329
97,Alaska,Kalskag,61.541006,-160.3261
98,Alaska,Kaltag,64.330452,-158.724251
99,Alaska,Karluk,57.57,-154.458333
100,Alaska,Kasigluk,60.895556,-162.520556
101,Alaska,Kasilof,60.316365,-151.28958
102,Alaska,Kenai,60.614467,-151.254556
103,Alaska,Ketchikan,55.372028,-131.683175
104,Alaska,Kiana,67.18026,-158.152204
105,Alaska,King Cove,55.062848,-162.305561
106,Alaska,King Salmon,58.724264,-156.641603
107,Alaska,Kipnuk,59.923204,-164.101013
108,Alaska,Kivalina,67.665859,-163.733617
109,Alaska,Klawock,55.552611,-133.055503
110,Alaska,Kobuk,66.912253,-157.066864
111,Alaska,Kodiak,57.781967,-152.500169
112,Alaska,Kongiganak,60.9888,-149.4116
113,Alaska,Kotlik,63.029471,-163.554153
114,Alaska,Kotzebue,66.846459,-162.126493
115,Alaska,Koyuk,64.931668,-161.149957
116,Alaska,Koyukuk,64.883333,-157.7
117,Alaska,Kwethluk,60.771814,-161.38849
118,Alaska,Kwigillingok,59.881022,-162.984938
119,Alaska,Lake Minchumina,63.903884,-152.430081
120,Alaska,Larsen Bay,57.538333,-153.98
121,Alaska,Levelock,59.371395,-154.976815
122,Alaska,Lower Kalskag,61.51377,-160.359966
123,Alaska,Manley Hot Springs,65.02058,-150.573267
124,Alaska,Manokotak,59.009559,-158.989699
125,Alaska,Marshall,61.837087,-161.7394
126,Alaska,Mc Grath,62.967153,-155.585153
127,Alaska,Mekoryuk,60.365679,-166.283583
128,Alaska,Metlakatla,55.121491,-131.579001
129,Alaska,Meyers Chuck,55.741667,-132.253333
130,Alaska,Minto,65.058399,-149.691186
131,Alaska,Moose Pass,60.85852,-149.255911
132,Alaska,Mountain Village,62.158913,-163.883822
133,Alaska,Naknek,58.885699,-156.705405
134,Alaska,Napakiak,60.663758,-161.738144
135,Alaska,Nenana,64.557656,-149.086744
136,Alaska,New Stuyahok,59.593533,-157.297205
137,Alaska,Nightmute,60.479444,-164.723889
138,Alaska,Nikiski,60.690278,-151.288889
139,Alaska,Nikolai,63.001603,-154.381247
140,Alaska,Nikolski,52.988337,-168.788427
141,Alaska,Ninilchik,60.010833,-151.639604
142,Alaska,Noatak,66.97553,-160.509453
143,Alaska,Nome,64.505775,-165.310667
144,Alaska,Nondalton,60.030837,-154.731675
145,Alaska,Noorvik,66.836353,-161.044132
146,Alaska,North Pole,64.78049,-147.369353
147,Alaska,Northway,62.964167,-141.908611
148,Alaska,Nuiqsut,70.192737,-150.997119
149,Alaska,Nulato,64.778024,-157.991353
150,Alaska,Nunam Iqua,62.509167,-164.453333
151,Alaska,Nunapitchuk,60.896944,-162.459444
152,Alaska,Old Harbor,57.202778,-153.303889
153,Alaska,Ouzinkie,57.925,-152.491667
154,Alaska,Palmer,61.613814,-149.065323
155,Alaska,Pedro Bay,59.92238,-153.821856
156,Alaska,Pelican,57.960833,-136.2275
157,Alaska,Perryville,55.945289,-159.259333
158,Alaska,Petersburg,56.827134,-133.160683
159,Alaska,Pilot Point,57.595193,-157.449272
160,Alaska,Pilot Station,61.946159,-162.874716
