player_name,team,pick,pid,pts,ast,stl,blk,treb,Ortg,drtg,year,ht,elevation (m),drafted,...16,...17
Charles Jenkins,Hofstra,44,57,19.5161,4.3226,1.4194,0.4516,4.7419,104.3,97.5891,2009,6.3,24,1,NA,NA
Jermaine Taylor,UCF,32,495,26.0333,1.8,1.2333,0.7333,5.2,112.9,103.129,2009,6.4,28,1,NA,NA
Tyler Hansbrough,North Carolina,13,895,20.7059,1,1.2353,0.3529,8.1176,124.7,94.7501,2009,6.9,134,1,NA,NA
Jack McClinton,Miami FL,51,1188,19.3226,2.8065,0.7419,0.0323,3.1613,119,103.536,2009,6.1,3,1,NA,NA
DaJuan Summers,Georgetown,35,1575,13.6452,1.2581,1.129,0.6774,4.129,104.5,98.0931,2009,6.8,43,1,NA,NA
Solomon Alabi,Florida St.,50,1924,8.4286,0.3429,0.5143,2.0857,5.6286,103.1,92.24,2009,7.1,24,1,NA,NA
Jon Diebler,Ohio St.,51,1926,11.2121,2.4848,1.0303,0.303,3.5758,114.3,101.11,2009,6.6,226,1,NA,NA
Terrence Williams,Louisville,11,2178,12.5135,5,2.3243,0.7838,8.5676,108.1,82.7598,2009,6.6,139,1,NA,NA
Keith Benson,Oakland,48,2763,14.3714,0.7143,0.5429,2.4571,7.8571,125.9,101.313,2009,6.11,286,1,NA,NA
Jimmer Fredette,BYU,10,3137,16.3438,4.0938,1.5625,0.0938,2.9688,112.5,96.4663,2009,6.2,1422,1,NA,NA
Nick Calathes,Florida,45,3427,17.1667,6.4167,1.8889,0.1667,5.3333,114.5,96.2249,2009,6.6,31,1,NA,NA
Jarvis Varnado,Mississippi St.,41,3685,12.8,0.8,0.6286,4.6571,8.6571,110.7,89.062,2009,6.9,116,1,NA,NA
Armon Johnson,Nevada,34,4048,15.2812,4.2188,0.875,0.1875,3.5625,103.7,103.12,2009,6.3,1392,1,NA,NA
Festus Ezeli,Vanderbilt,30,4250,3.7931,0.0345,0.1379,0.7586,2.5517,81,96.4762,2009,6.11,173,1,NA,NA
Magnum Rolle,Louisiana Tech,51,4861,12.037,0.963,0.9259,1.7778,7.4444,104.9,91.4724,2009,6.11,93,1,NA,NA
Jrue Holiday,UCLA,17,5415,8.4571,3.6857,1.5714,0.5143,3.7714,107.2,95.4139,2009,6.3,115,1,NA,NA
Andrew Nicholson,St. Bonaventure,19,8064,12.5333,0.2333,0.5667,2.7,6,105.1,94.0677,2009,6.9,435,1,NA,NA
Kemba Walker,Connecticut,9,9075,8.8857,2.9143,1.0571,0.1714,3.4857,107.6,93.6251,2009,6.1,188,1,NA,NA
Tyreke Evans,Memphis,4,9524,17.0811,3.8649,2.0811,0.7838,5.3514,101.8,82.1427,2009,6.6,100,1,NA,NA
Kim English,Missouri,44,9696,6.5,1.1053,0.5,0.1053,1.6316,101.6,97.3198,2009,6.6,228,1,NA,NA
Romero Osby,Mississippi St.,51,20669,3.8286,0.2286,0.2,0.3429,2.6,93.7,98.5481,2009,6.8,116,1,NA,NA
Colton Iverson,Minnesota,53,28225,5.3226,0.6452,0.4194,1.2903,3.5161,96.9,96.5294,2009,6.1,253,1,NA,NA
Damion James,Texas,24,825,17.9706,0.9706,1.6765,1.1765,10.2941,115.6,87.0914,2010,6.7,159,1,NA,NA
Jon Diebler,Ohio St.,51,1926,13,1.4595,1.1351,0.0811,2.7568,124.3,98.9846,2010,6.6,226,1,NA,NA
Dwayne Collins,Miami FL,60,2387,12.0714,1.1786,0.6071,1.1429,7.7143,105.7,94.2041,2010,6.8,3,1,NA,NA
Robert Sacre,Gonzaga,60,2747,10.3636,0.6061,0.697,1.9394,5.4242,101.2,94.2778,2010,7,582,1,NA,NA
Keith Benson,Oakland,48,2763,17.303,0.8182,0.4545,3.4848,10.5152,118,95.9719,2010,6.11,286,1,NA,NA
Jarvis Varnado,Mississippi St.,41,3685,13.7778,0.8889,0.6667,4.7222,10.25,111.4,85.0949,2010,6.9,116,1,NA,NA
Justin Hamilton,Iowa St.,45,5176,6.3548,0.3226,0.2581,1.0645,5.3871,120.4,100.782,2010,6.11,291,1,NA,NA
Darius Miller,Kentucky,46,7229,6.4737,1.5263,0.5789,0.5789,2.5,114.2,96.7919,2010,6.7,307,1,NA,NA
Klay Thompson,Washington St.,11,8716,19.4667,2.2,1.4,0.7,5.0667,102.3,103.367,2010,6.6,780,1,NA,NA
Draymond Green,Michigan St.,35,8827,9.8919,3.027,1.2162,0.9189,7.7297,114.3,89.1542,2010,6.6,263,1,NA,NA
Quincy Acy,Baylor,37,9007,9.2,0.2857,0.4571,0.7714,5.0857,124.4,99.0395,2010,6.7,122,1,NA,NA
Andy Rautins,Syracuse,38,10094,12.1143,4.8857,1.9714,0.2286,3.3714,115.1,95.4256,2010,6.4,116,1,NA,NA
Glen Rice,Georgia Tech,35,10728,5.1471,1.6176,1.0294,0.4706,3.0294,103.2,93.459,2010,6.5,283,1,NA,NA
Elliot Williams,Memphis,22,11987,17.9412,3.7647,1.3235,0.1176,3.9706,112.8,100.027,2010,6.5,100,1,NA,NA
Daniel Orton,Kentucky,29,12620,3.3947,0.3947,0.5526,1.3947,3.3158,95.1,86.2755,2010,6.11,307,1,NA,NA
John Wall,Kentucky,1,12637,16.6486,6.5135,1.7838,0.5135,4.2973,108.7,93.3072,2010,6.4,307,1,NA,NA
Hamady Ndiaye,Rutgers,56,13308,9.6129,0.4194,0.4194,4.4839,7,109.6,99.2266,2010,7,28,1,NA,NA
Erik Murphy,Florida,49,13540,3.4848,0.2424,0.3636,0.2424,2.3939,111,95.173,2010,6.9,31,1,NA,NA
Jared Cunningham,Oregon St.,24,13618,6.2188,0.9062,1.3438,0.0938,2,88.2,96.046,2010,6.4,73,1,NA,NA
Erick Green,Virginia Tech,46,13728,2.5882,0.9118,0.5,0.2059,0.9118,82.3,96.5827,2010,6.4,629,1,NA,NA
Thomas Robinson,Kansas,5,14520,2.5152,0.2727,0.2121,0.5455,2.6667,88.1,87.1019,2010,6.9,310,1,NA,NA
Darius Morris,Michigan,41,14768,4.1613,2.5484,0.6452,0.1613,1.8387,87.5,102.971,2010,6.4,268,1,NA,NA
Robbie Hummel,Purdue,58,21042,15.6667,2.0741,1.0741,1.037,6.9259,123.3,88.1727,2010,6.8,190,1,NA,NA
Colton Iverson,Minnesota,53,28225,5.0286,0.6,0.3429,0.9143,4.3714,90.8,94.1278,2010,6.1,253,1,NA,NA
Wes Johnson,Syracuse,4,49721,16.4857,2.2286,1.6571,1.8286,8.5429,116.1,89.9009,2010,6.7,116,1,NA,NA
E'Twaun Moore,Purdue,55,201,18,3.1765,1.2059,0.5294,5.1471,112.1,93.887200000000007,2011,6.4,190,1,NA,NA
JaJuan Johnson,Purdue,27,203,20.5294,0.9706,0.8824,2.3235,8.5588,113.9,89.3372,2011,6.1,190,1,NA,NA
Lavoy Allen,Temple,50,1089,11.5758,2.2727,0.697,1.8485,8.5758,107.7,92.0014,2011,6.9,27,1,NA,NA
Kenneth Faried,Morehead St.,22,1626,17.25,1.0312,1.9062,2.1875,14.375,115.1,85.7528,2011,6.8,304,1,NA,NA
Jon Leuer,Wisconsin,40,1932,18.2647,1.6471,0.5,0.8824,7.2353,116.8,98.659,2011,6.1,269,1,NA,NA
Chandler Parsons,Florida,38,2243,11.3056,3.7778,0.9444,0.4167,7.75,110.3,95.262,2011,6.1,31,1,NA,NA
Robert Sacre,Gonzaga,60,2747,12.5294,1.1176,0.7647,1.8529,6.4412,110.7,92.7036,2011,7,582,1,NA,NA
Norris Cole,Cleveland St.,28,4149,21.6765,5.4412,2.1765,0.0882,5.8824,112.9,93.3699,2011,6.2,203,1,NA,NA
Kris Joseph,Syracuse,51,4748,14.1515,2.1212,1.5152,0.6364,5.1818,108.7,95.0555,2011,6.7,116,1,NA,NA
