player_name,team,pick,pid,pts,ast,stl,blk,treb,Ortg,drtg,year,ht,elevation (m),drafted
Marial Shayok,Virginia,54,35662,8.9412,0.9706,0.8824,0.2941,2.4118,99.1,91.449,2017,6.5,201,1
Immanuel Quickley,Kentucky,25,65578,16.0667,1.9,0.9,0.1333,4.2,117.9,98.4589,2020,6.3,307,1
James Wiseman,Memphis,2,70562,19.6667,0.3333,0.3333,3,10.6667,140.6,80.0012,2020,7.1,100,1
Darius Johnson-Odom,Marquette,55,10809,15.7838,2.3784,0.8378,0.1892,3.027,107.8,104.176,2011,6.2,198,1
Kendall Marshall,North Carolina,13,16380,8.1389,9.75,1.1944,0.1667,2.6111,113.3,96.8536,2012,6.4,134,1
Lavoy Allen,Temple,50,1089,11.4857,2.3714,0.5429,1.4286,10.7143,114.8,86.2266,2010,6.9,27,1
Magnum Rolle,Louisiana Tech,51,4861,13.8529,0.8235,0.7647,2.0882,8.4118,108,97.3005,2010,6.11,93,1
Doug McDermott,Creighton,11,14955,23.1667,1.5833,0.2222,0.0556,7.6667,121.3,97.5417,2013,6.7,339,1
Semi Ojeleye,Duke,37,28767,1.6471,0.1176,0.2353,0.2353,0.8824,127.6,99.6506,2014,6.7,120,1
Marial Shayok,Virginia,54,35662,3.8235,1.0294,0.5588,0.2941,1.7941,102.6,86.7111,2015,6.6,201,1
David Johnson,Louisville,47,70419,6.3333,2.7778,0.6667,0.2593,2.8148,100.4,93.3482,2020,6.5,139,1
Edmond Sumner,Xavier,52,35886,1.3333,1,0.3333,0,0.8333,69.9,100.388,2015,6.5,199,1
Justin Hamilton,Iowa St.,45,5176,4.1613,0.1613,0.0968,0.5484,2.9355,111.9,101.342,2009,7.0,291,1
Cory Joseph,Texas,29,16073,10.4167,3.0278,1.0278,0.3056,3.5556,110.9,94.0606,2011,6.3,159,1
Darius Johnson-Odom,Marquette,55,10809,13,2.3824,0.8824,0.1765,2.6471,107.9,102.197,2010,6.2,198,1
Landry Fields,Stanford,39,1416,12.6471,1.9412,1.2353,0.5294,6.6471,111,98.6525,2009,6.7,27,1
Tyler Bey,Colorado,36,52083,13.8387,1.4839,1.5484,1.129,9.0323,109.9,84.6138,2020,6.7,1635,1
C.J. Wilcox,Washington,28,15155,8.1212,0.8788,0.4242,0.303,2.0606,122.9,100.469,2011,6.5,29,1
Roy Devyn Marble,Iowa,56,18726,14.5556,3.0556,1.1667,0.2222,3.9722,106.2,95.3848,2013,6.6,219,1
Michael Gbinije,Syracuse,49,21893,17.4865,4.3243,1.9189,0.3514,4.0811,111.2,100.689,2016,6.7,116,1
Wes Johnson,Syracuse,4,49721,16.4857,2.2286,1.6571,1.8286,8.5429,116.1,89.9009,2010,6.7,116,1
Kevin Murphy,Tennessee Tech,47,4375,9.4643,1.6429,0.5714,0.2143,3.0714,89.3,105.347,2009,6.7,340,1
Lorenzo Brown,North Carolina St.,52,17642,12.3636,7.2424,1.9697,0.5758,4.3333,103.5,100.419,2013,6.5,123,1
Kemba Walker,Connecticut,9,9075,14.6176,5.0588,2.0588,0.4412,4.2647,106.2,97.6606,2010,6.1,188,1
