player_name,team,pick,pid,pts,ast,stl,blk,treb,Ortg,drtg,year,ht,elevation (m),drafted
E'Twaun Moore,Purdue,55,201,13.8378,3,1.0811,0.4324,4.6216,98.4,91.8836,2009,6.4,190,1
Goran Suton,Michigan St.,50,603,10.1212,1.5152,1.1212,0.4848,8.1515,116.7,90.3076,2009,6.10,263,1
Derrick Brown,Xavier,40,709,13.5588,1.8529,0.7059,0.8235,6.1471,118.5,93.4717,2009,6.8,199,1
Cole Aldrich,Kansas,11,763,14.8571,1.0286,0.6,2.6857,11.0571,124.3,85.481,2009,6.11,310,1
Dexter Pittman,Texas,32,827,10.1143,0.3714,0.3714,0.9429,5.4571,118,93.3922,2009,6.10,159,1
Lester Hudson,Tennessee Martin,58,1026,27.7333,4.1333,2.1,0.6,8.0667,115.3,96.5284,2009,6.3,124,1
Stanley Robinson,Connecticut,59,1137,8.5556,1.1481,0.6296,1.1111,5.7037,104.7,91.3225,2009,6.9,188,1
DaJuan Summers,Georgetown,35,1575,13.6452,1.2581,1.129,0.6774,4.129,104.5,98.0931,2009,6.8,43,1
Jeff Teague,Wake Forest,19,1633,18.8387,3.5484,1.871,0.6452,3.2903,113.1,95.1768,2009,6.2,291,1
James Johnson,Wake Forest,16,1634,15,2,1.4194,1.5484,8.5161,113.5,89.965,2009,6.8,291,1
Stephen Curry,Davidson,7,1827,28.6364,5.4242,2.3333,0.2121,4.4848,118,89.1128,2009,6.3,254,1
Robert Vaden,UAB,54,2073,17.6471,2.0588,1.0294,0.6176,4.9412,101,97.4533,2009,6.5,232,1
Terrence Williams,Louisville,11,2178,12.5135,5,2.3243,0.7838,8.5676,108.1,82.7598,2009,6.6,139,1
Jon Brockman,Washington,38,2266,14.8485,1.1818,0.9091,0.0909,11.5455,114.3,92.3011,2009,6.7,29,1
Trevor Booker,Clemson,23,2429,15.3438,1.6875,1.4688,1.9688,9.7188,122.3,90.0147,2009,6.7,221,1
Austin Daye,Gonzaga,15,2742,12.6061,1.1212,0.7273,2,6.6667,102.6,85.3883,2009,6.11,582,1
Andrew Goudelock,College of Charleston,46,3120,16.7222,1.8611,0.7222,0.3056,2.5,114.1,109.144,2009,6.2,6,1
Jimmer Fredette,BYU,10,3137,16.3438,4.0938,1.5625,0.0938,2.9688,112.5,96.4663,2009,6.2,1422,1
Luke Harangody,Notre Dame,52,3225,23.2941,2.0588,0.9118,0.9118,11.7941,110.1,97.41,2009,6.8,224,1
Nick Calathes,Florida,45,3427,17.1667,6.4167,1.8889,0.1667,5.3333,114.5,96.2249,2009,6.6,31,1
Patrick Patterson,Kentucky,14,3715,17.9118,1.9412,0.6176,2.0588,9.2941,123.2,91.7889,2009,6.9,307,1
Taylor Griffin,Oklahoma,48,3787,9.6111,1.3333,1.3056,1,5.8333,112.4,96.7464,2009,6.7,355,1
Jodie Meeks,Kentucky,41,3812,23.7222,1.75,1.3333,0.1389,3.3889,118.9,98.0648,2009,6.5,307,1
Markieff Morris,Kansas,13,4369,4.6286,0.9714,0.4,0.7143,4.4286,97.7,90.9077,2009,6.10,310,1
Marcus Denmon,Missouri,59,5174,5.9737,1.4211,0.8947,0.1316,2.2105,105.3,95.1603,2009,6.3,228,1
